time,status,count,level,score,message
18h 04,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
18h 05,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
18h 06,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
18h 07,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
18h 08,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
18h 09,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
18h 10,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
18h 11,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
18h 12,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
18h 13,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
18h 14,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
18h 15,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
18h 16,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
18h 18,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
18h 19,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
18h 20,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
18h 23,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
18h 24,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
18h 25,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
18h 26,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
18h 27,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
18h 28,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
18h 29,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
18h 30,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
18h 33,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
18h 35,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
18h 40,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
18h 41,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
